T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
0.8843258042436687,230.0,21.275,21.3,0.02,21.66,0.38,0.4436627809935152,0.4490090008207815
0.8843258042436687,250.0,16.200000000000003,16.19,-0.01,16.46,0.26,0.44165794893567134,0.44552437399859246
0.8843258042436687,270.0,12.35,12.29,-0.06,12.25,-0.1,0.44114381314298207,0.4395076403242042
0.8843258042436687,290.0,9.45,9.34,-0.11,9.58,0.13,0.4417029917362831,0.4440425282342061
0.9609856262833676,125.0,78.4,77.91,-0.49,77.56,-0.84,0.501700660491923,0.47817278653275064
0.9609856262833676,135.0,70.85,70.48,-0.37,70.36,-0.49,0.4899366689575892,0.4784067649013259
0.9609856262833676,155.0,57.150000000000006,56.98,-0.17,57.22,0.07,0.47292985816789385,0.4741630508255754
0.9609856262833676,170.0,48.225,48.11,-0.12,47.77,-0.46,0.4647836233601228,0.4575114558987852
0.9609856262833676,190.0,37.975,37.97,-0.0,37.54,-0.43,0.4556896082433675,0.4495963714927146
0.9609856262833676,210.0,29.65,29.68,0.03,29.97,0.32,0.44984488842895487,0.45420733688896525
0.9609856262833676,230.0,22.975,23.04,0.07,23.14,0.17,0.4454833168547224,0.44775907880233345
0.9609856262833676,250.0,17.85,17.83,-0.02,17.98,0.13,0.44419878970642723,0.446057534461987
0.9609856262833676,270.0,13.875,13.77,-0.1,13.73,-0.14,0.443853588558075,0.4417346576093023
0.9609856262833676,280.0,12.25,12.11,-0.14,12.38,0.13,0.44407121490114104,0.44608407191782773
1.379876796714579,115.0,90.85,90.41,-0.44,89.9,-0.95,0.506373570060241,0.4825586623931927
1.379876796714579,135.0,76.85,76.5,-0.35,76.41,-0.44,0.4909113773257008,0.48285493221676357
1.379876796714579,155.0,64.32499999999999,64.2,-0.12,64.11,-0.22,0.4775288401766471,0.4742400601856193
1.379876796714579,170.0,55.900000000000006,56.05,0.15,55.98,0.08,0.4683595886860331,0.4694913430245539
1.379876796714579,190.0,46.425,46.57,0.14,46.45,0.03,0.4629971661486916,0.4633474276902862
1.379876796714579,210.0,38.4,38.55,0.15,38.8,0.4,0.4585893739908439,0.4631801196652538
1.379876796714579,230.0,31.700000000000003,31.84,0.14,32.01,0.31,0.4552644152780117,0.4587625524680841
1.379876796714579,240.0,28.775,28.93,0.16,28.65,-0.13,0.45373426549549917,0.45230568466541565
1.379876796714579,260.0,23.875,23.89,0.01,23.83,-0.04,0.45317114440003964,0.4526805418981656
1.379876796714579,280.0,19.875,19.74,-0.13,20.13,0.26,0.453337809350109,0.45635396031878234
1.6317590691307324,115.0,93.525,93.07,-0.45,93.02,-0.5,0.5053322993622781,0.4943578153217896
1.6317590691307324,135.0,79.975,79.82,-0.15,79.27,-0.71,0.4884122778880983,0.4765598233718474
1.6317590691307324,155.0,68.4,68.1,-0.3,68.25,-0.15,0.48242737420985143,0.4803328445768621
1.6317590691307324,170.0,60.224999999999994,60.3,0.07,60.31,0.09,0.472802818110523,0.47389502350771107
1.6317590691307324,190.0,50.95,51.14,0.19,50.83,-0.12,0.46654687940884493,0.4652347019391013
1.6317590691307324,210.0,43.0,43.3,0.3,43.57,0.57,0.46154799744929176,0.46759528148722007
1.6317590691307324,220.0,39.525000000000006,39.82,0.3,39.51,-0.01,0.4598962697822754,0.45977021867703016
1.6317590691307324,240.0,33.45,33.69,0.24,33.67,0.22,0.45774818084022056,0.46003984925151725
1.6317590691307324,260.0,28.325,28.52,0.19,28.37,0.05,0.4560545266057939,0.45654210534294476
1.6317590691307324,280.0,24.125,24.17,0.05,23.67,-0.46,0.45591767895880614,0.4511048601170054
1.8809034907597535,115.0,96.05,95.6,-0.45,95.04,-1.01,0.5044389728982902,0.4843181786607288
1.8809034907597535,135.0,83.19999999999999,82.93,-0.27,82.58,-0.62,0.49134859867556424,0.4817902003502989
1.8809034907597535,155.0,71.85,71.7,-0.15,70.95,-0.9,0.4824197488008738,0.47073515707018904
1.8809034907597535,170.0,64.17500000000001,64.19,0.02,64.33,0.15,0.4761688983682757,0.4779333662985961
1.8809034907597535,180.0,59.475,59.6,0.13,59.47,-0.0,0.472587905910114,0.4725338584865381
1.8809034907597535,200.0,51.150000000000006,51.35,0.2,50.44,-0.71,0.4679055672966232,0.4606535929770201
1.8809034907597535,220.0,43.9,44.23,0.33,44.05,0.15,0.46346113072210526,0.4649542870686002
1.8809034907597535,240.0,37.725,38.11,0.39,38.01,0.28,0.460341014799518,0.46305295201631536
1.8809034907597535,260.0,32.65,32.87,0.22,32.87,0.22,0.4598046109624309,0.461880545667705
1.8809034907597535,280.0,28.275,28.4,0.12,27.97,-0.3,0.4590946569464467,0.45615716661634503
1.9767282683093772,115.0,97.0,96.54,-0.46,96.09,-0.91,0.5043057014423379,0.4867377133364636
1.9767282683093772,135.0,84.5,84.07,-0.43,83.36,-1.14,0.49394959540162475,0.47674643688304336
1.9767282683093772,145.0,78.525,78.37,-0.15,78.12,-0.41,0.48625636179070664,0.48066557399892423
1.9767282683093772,165.0,67.92500000000001,68.0,0.08,67.9,-0.03,0.4775561397935882,0.4772517677866121
1.9767282683093772,180.0,60.7,61.08,0.38,60.72,0.02,0.4707671170068587,0.47097002308401026
1.9767282683093772,200.0,52.625,52.92,0.29,52.49,-0.13,0.46811287394856005,0.46677610539793624
1.9767282683093772,220.0,45.45,45.84,0.39,45.36,-0.09,0.46410508922135074,0.46321641522907864
1.9767282683093772,240.0,39.325,39.74,0.42,39.56,0.24,0.4614176116998648,0.4636553566177472
1.9767282683093772,260.0,34.075,34.49,0.42,34.33,0.25,0.4593828280188332,0.46171761194683975
1.9767282683093772,280.0,29.725,29.98,0.26,29.65,-0.07,0.45921327851682847,0.45852413772349776
