Type,T,K,Mkt,Ana,Err_A,IV_Mkt
PUT,0.9144421629021219,5400.0,107.25,108.21,0.96,0.27053738843558206
CALL,0.9144421629021219,8280.0,51.25,49.95,-1.3,0.1271310878266869
CALL,0.9144421629021219,8290.0,50.15,48.77,-1.38,0.12705942501948417
CALL,0.9144421629021219,8300.0,48.95,47.61,-1.34,0.1268993703192138
CALL,0.9144421629021219,8400.0,39.0,37.49,-1.51,0.12603565121638455
CALL,0.9144421629021219,8500.0,31.2,29.6,-1.6,0.1255830863106539
CALL,0.9144421629021219,8600.0,24.950000000000003,23.46,-1.49,0.12532348706437102
PUT,0.9555099247091033,5300.0,102.35,104.13,1.78,0.2742763911297767
PUT,0.9555099247091033,5350.0,106.75,108.65,1.9,0.27149866297067476
PUT,0.9555099247091033,5550.0,126.5,128.47,1.97,0.26072619166397143
CALL,0.9555099247091033,8200.0,69.2,67.86,-1.34,0.12946366007063426
CALL,0.9555099247091033,8300.0,55.7,53.73,-1.97,0.1281845943631837
CALL,0.9555099247091033,8400.0,44.8,42.54,-2.26,0.12725274757619534
CALL,0.9555099247091033,8600.0,29.25,26.86,-2.39,0.12647380074730774
CALL,0.9555099247091033,8700.0,23.5,21.45,-2.05,0.1261933336724374
PUT,1.051334702258727,5500.0,132.35,135.47,3.12,0.26078943137341454
PUT,1.051334702258727,5550.0,138.0,140.96,2.96,0.2583200073955059
PUT,1.051334702258727,5750.0,162.39999999999998,164.94,2.54,0.2482577416855133
CALL,1.051334702258727,8150.0,94.6,96.4,1.8,0.13173988011594553
CALL,1.051334702258727,8200.0,85.65,86.56,0.91,0.1309107129144031
CALL,1.051334702258727,8500.0,46.6,44.8,-1.8,0.1275369603925068
CALL,1.051334702258727,8600.0,38.15,36.0,-2.15,0.127082269313659
PUT,1.1279945242984257,5250.0,116.2,119.12,2.92,0.2722007988172986
PUT,1.1279945242984257,5350.0,126.05,128.93,2.88,0.2672128306274836
PUT,1.1279945242984257,5400.0,131.25,134.09,2.84,0.26473410378298035
CALL,1.1279945242984257,8200.0,100.55,102.98,2.43,0.13253830179950862
CALL,1.1279945242984257,8400.0,68.65,67.96,-0.69,0.12974361813099033
CALL,1.1279945242984257,8500.0,56.6,55.04,-1.56,0.12878112908087092
CALL,1.1279945242984257,8600.0,46.5,44.59,-1.91,0.1279599465808227
CALL,1.1279945242984257,8700.0,38.3,36.17,-2.13,0.1274460031979159
PUT,1.374401095140315,6075.0,254.3,258.89,4.59,0.22935964871409784
PUT,1.374401095140315,6125.0,263.04999999999995,267.8,4.75,0.22702434418674536
CALL,1.374401095140315,7950.0,224.7,242.0,17.3,0.14367818346633146
CALL,1.374401095140315,8100.0,179.0,191.74,12.74,0.13983111757186273
CALL,1.374401095140315,8500.0,92.6,96.09,3.49,0.13215501662388127
CALL,1.374401095140315,8600.0,77.85,79.99,2.14,0.1307988077877711
PUT,1.8754277891854894,5250.0,187.65,191.93,4.28,0.26183580975038384
PUT,1.8754277891854894,5300.0,194.15,198.29,4.14,0.2599115295072046
PUT,1.8754277891854894,5400.0,207.75,211.53,3.78,0.2561113805697129
PUT,1.8754277891854894,6100.0,326.8,326.26,-0.54,0.23039071362032879
CALL,1.8754277891854894,8300.0,243.35000000000002,267.91,24.56,0.14532062499471404
CALL,1.8754277891854894,8400.0,214.45,236.72,22.27,0.1430212760061231
CALL,1.8754277891854894,8500.0,188.4,208.2,19.8,0.14092935895642272
CALL,1.8754277891854894,8600.0,164.9,182.32,17.42,0.1389838665370947
CALL,1.8754277891854894,8700.0,144.1,159.01,14.91,0.13728340241769468
